"Year","PgCO2_per_year_to_atmos"
1,0.0016312188905067
2,0.00371174443248347
3,0.0059726038448423
4,0.00805110235302329
5,0.00978405846507687
6,0.0111723071834614
7,0.0122864284098845
8,0.0132099441812129
9,0.0140100622805873
10,0.0147337248533339
11,0.0154104845041234
12,0.0160575896915037
13,0.0166843554337458
14,0.0172953146988308
15,0.0178923496211675
16,0.0184760041164842
17,0.0190463169258173
18,0.0196030479435815
19,0.0201461186360322
20,0.0206755991626963
21,0.0211917058392181
22,0.0216947592285057
23,0.0221851555637803
24,0.0226633223042136
25,0.0231297058021007
26,0.0235847381008586
27,0.0240287985411288
28,0.0244622642947015
29,0.0248854995323591
30,0.025298893514842
31,0.0257027035886322
32,0.0260972821629581
33,0.0264828625881194
34,0.0268597404712203
35,0.0272282000517426
36,0.0275885240521568
37,0.0279410305215038
38,0.028286055107748
39,0.0286238581091433
40,0.0289547279431498
41,0.0292791764090624
42,0.029597670519668
43,0.0299102744472664
44,0.0302173034005864
45,0.0305190727312805
46,0.0308158943060416
47,0.0311081015876204
48,0.0313960124866798
49,0.0316799066916346
50,0.0319600788805591
51,0.0322368320636539
52,0.0325104561890335
53,0.032781213386291
54,0.0330493748655195
55,0.0333152148397808
56,0.0335789718215608
57,0.0338408921392221
58,0.0341012528583911
59,0.0343602635721852
60,0.0346181310077896
61,0.0348750574656901
62,0.0351313664618185
63,0.0353872283827281
64,0.035642747157307
65,0.0358981551044442
66,0.0361535731604611
67,0.0364091569683458
68,0.0366650606462072
69,0.0369214313066195
70,0.0371784092890385
71,0.0374361284004718
72,0.037694716150764
73,0.037954293981587
74,0.0382149774885738
75,0.0384768766537135
76,0.0387400960760949
77,0.0390047350161005
78,0.0392708877644138
79,0.0395386437688326
80,0.0398080878140639
81,0.0400793002721219
82,0.0403523570394312
83,0.0406273359795598
84,0.0409043045420851
85,0.0411833213034473
86,0.0414644465012095
87,0.0417477368413026
88,0.0420332456220158
89,0.0423210226767014
90,0.0426111147417205
91,0.0429035736119972
92,0.0431984322137627
93,0.0434957282804947
94,0.043795496972336
95,0.0440977708245199
96,0.0444025798472299
97,0.0447099516217933
98,0.0450199113933458
99,0.0453324821601017
100,0.0456476847593642
101,0.0459655379504061
102,0.0462860584943491
103,0.0466092612311659
104,0.0469351591539269
105,0.0472637634804069
106,0.0475950837221669
107,0.0479291277512161
108,0.0482659018643598
109,0.0486054108453319
110,0.0489476580248046
111,0.0492926453383663
112,0.0496403733825519
113,0.0499908414690052
114,0.0503440476768509
115,0.0506999889033469
116,0.0510586609128841
117,0.0514200583844003
118,0.051784175023604
119,0.0521510034444288
120,0.0525205353027994
121,0.0528927613802627
122,0.0532676715881719
123,0.0536452550067351
124,0.054025499922838
125,0.0544083938666802
126,0.0547939247023795
127,0.0551820776450455
128,0.0555728380153064
129,0.0559661906674998
130,0.0563621198667213
131,0.0567606092961625
132,0.0571616421232297
133,0.0575652010133868
134,0.0579712681576782
135,0.0583798252993863
136,0.0587908537598471
137,0.0592043344634478
138,0.0596202479618305
139,0.0600385744573223
140,0.060459293825614
141,0.0608823856377083
142,0.0613078291811556
143,0.0617356034805976
144,0.0621656873176368
145,0.0625980592500492
146,0.0630326976303575
147,0.0634695806237814
148,0.0639086862255812
149,0.064349992277809
150,0.0647934764854847
151,0.0652391164322091
152,0.06568688959523
153,0.0661367733599741
154,0.0665887450340583
155,0.0670427818607938
156,0.0674988610321951
157,0.067956959701507
158,0.0684170549952612
159,0.0688791240248741
160,0.069343143897798
161,0.0698090917282365
162,0.0702769446474351
163,0.0707466798135582
164,0.0712182744211624
165,0.0716917057102771
166,0.0721669509751017
167,0.0726439875723311
168,0.073122792929116
169,0.0736033445506718
170,0.0740856200275416
171,0.0745695970425247
172,0.0750552533772793
173,0.0755425669186074
174,0.0760315156644322
175,0.0765220777294746
176,0.0770142313506388
177,0.0775079548921144
178,0.0780032268502039
179,0.0785000258578818
180,0.0789983306890959
181,0.0794981202628156
182,0.0799993736468369
183,0.0805020700613503
184,0.0810061888822793
185,0.0815117096443966
186,0.082018612044225
187,0.0825268759427299
188,0.0830364813678098
189,0.0835474085165926
190,0.0840596377575421
191,0.0845731496323832
192,0.0850879248578509
193,0.0856039443272693
194,0.0861211891119667
195,0.0866396404625331
196,0.0871592798099249
197,0.0876800887664233
198,0.0882020491264516
199,0.0887251428672565
200,0.0892493521494587
300,0.144985394501557
400,0.202166638344942
500,0.257553540130841
600,0.3101546117932
700,0.359638926353678
800,0.405885551493224
900,0.448856257523047
1000,0.488567733401853
